alr	Alanine racemase
rcsF	Lipoprotein that signals increased capsule synthesis; upstream of RcsCDB phoshorelay; overexpression confers mucoid phenotype and increases colanic acid capsule synthesis; restores colony formation of ftsZ84 mutants on low salt
yaeB	Function unknown, UPF0066 family
metQ	Periplasmic methionine binding lipoprotein; methionine sulfoximine sensitivity
holE	DNA polymerase III, theta subunit
ftsH	ATP-dependent membrane protease, complexed with HflCK; regulates lysogeny; mutants are defective in cell growth, septum formation and phage lambda development; mutants rescued by divalent cations; binds Zn(II); hexameric
rlmE	23S rRNA U2552 ribose 2'-O-methyltransferase, SAM-dependent; involved in cell division and growth; heat inducible; suppresssed by cloned ObgE and Der
sra	SRA (stationary-phase-induced ribosome-associated) protein; Protein D; present in copy number/ribosome = 0.1 (exp) to 0.4 (stat); previously called 30S ribosomal subunit protein S22, RpsV
ppk	Polyphosphate kinase, reversible
mog	Molybdochelatase incorporating molybdenum into molybdopterin; chlorate resistance
yaaH	Inner membrane protein, Grp1_Fun34_YaaH family, function unknown
yaaI	Function unknown, UPF0412 family
gltF	Function unknown, periplasmic protein; mutant has no phenotype with respect to amino acid utilization or ammonium transport; previous suggestions that GltF has a role in nitrogen-regulated gene expression are now unlikely
yhcA	Required for swarming phenotype, function unknown; predicted periplasmic pilus chaperone
ycgB	Function unknown
glpX	Fructose 1,6 bisphosphatase; induced by glycerol, in glpFKX operon, not required for growth on glycerol
fpr	Ferredoxin NADP+ reductase; anaerobic; cloned fpr gene suppresses unlinked mvrA mutation
nikR	Nickel-responsive regulator of the nik operon; homodimer
yhhH	Function unknown, downstream of rhsB
ybfA	Function unknown
ybfB	Function unknown
ybfC	Function unknown
ybfD	H repeat-associated protein, RhsC-linked, function unknown
yhhI	H repeat-associated protein, RhsE-linked, function unknown
ydcC	H repeat-associated protein, RhsE-linked, function unknown
narP	Two-component regulator protein for nitrate/nitrite response; NarQ is cognate sensor protein
fabI	Enoyl-ACP reductase, NADH dependent
ftsN	Cell division and growth; multicopy suppresses ftsA12
fadD	Acyl-CoA synthase
cfa	Cyclopropane fatty acid synthase; CFA lipid modification is required for acid resistance in early stationary phase
menC	o-succinylbenzoate synthase; menaquinone biosynthesis
ychH	Stress-induced protein, function unknown; involved in cadmium and peroxide resistance
ibpA	Chaperone, heat-inducible protein of HSP20 family
ibpB	Chaperone, heat-inducible protein of HSP20 family
yidE	Putative AAE family transporter, function unknown
yceH	Function unknown, UPF0502 family
yfiC	tRNA m(6)A37 methyltransferase, SAM-dependent; tRNA (adenine-N(6)-)-methyltransferase; modifies A37 of tRNA1Val(cmo5UAC)
pyrH	Uridylate kinase; hexameric
wrbA	NAD(P)H:quinone oxidoreductase, type IV NQO; may protect against oxidative stress; dimeric, binds one FMN per monomer
kup	Major constitutive K+ uptake permease at acidic pH; also transports Cs+ and Rb+
tesA	Acyl-CoA thioesterase I; also protease I; also lysophospholipase L1; monomeric
hemE	Uroporphyrinogen decarboxylase
gadE	Transcriptional regulator of the gadABC operon
flgL	Flagellar synthesis, hook-associated protein
nadC	Quinolinate phosphoribosyl transferase
rnt	RNase T; RNA processing
lhr	Probable ATP-dependent helicase, function unknown
pepT	Peptidase T, aminotripeptidase; anaerobically induced, biofilm-induced, cell-density induced
hypF	Hydrogenases 1,2,3 accessory protein; required for CN ligand synthesis at the metallocenter; HypF carbamoyltransferase activity forms thiocarbamate at terminal Cys of HypE; monomeric
hydN	Iron-sulfur protein required for Hyd-3 activity
glmM	Phosphoglucosamine mutase; UDP-GlcNAc pathway, peptidoglycan, lipopolysaccharide synthesis; mRNA stability effects
stpA	RNA chaperone and DNA-binding protein; suppresses T4 td mutant; modulates micF stability; forms heteromers with, and stabilzed against proteolysis by, the paralogous H-NS protein; transcriptionally repressed by H-NS
yaaJ	Function unknown
talB	Transaldolase B
caiD	Carnitinyl-CoA dehydratase
caiC	Crotonobetain/carnitine-CoA ligase
caiB	Carnitine dehydratase; crotonobetaine reductase, CI component
caiA	Crotonobetaine reductase, CII component
caiT	L-carnitine/gamma-butyrobetaine antiporter; trimeric
fixA	Required for anaerobic carnitine reduction; similar to Rhizobium fix gene
fixB	Required for anaerobic carnitine reduction; similar to Rhizobium fix gene
fixC	Related to carnitine metabolism; similarity to Rhizobium fix gene
fixX	Related to carnitine metabolism; similarity to Rhizobium fix gene
yaaU	Putative transporter, function unknown
kefF	Required for KefC-mediated K+ efflux; member of quinone oxidoreductase family, but lacks key residues needed for activity
lptD	LPS assembly OM complex LptDE, beta-barrel component
djlA	DnaK co-chaperone, membrane-asssociated, DNA-binding; mutants rapidly accumulate suppressors
yabI	inner membrane protein, SNARE_assoc family, function unknown
thiQ	ABC transporter ATPase for thiamine, thiamine pyrophosphate
thiP	ABC transporter permease for thiamine, thiamine pyrophosphate
thiB	Periplasmic thiamin binding protein; monomeric
leuD	3-isopropylmalate dehydratase small subunit; also called alpha-Isopropylmalate isomerase
leuC	3-isopropylmalate dehydratase large subunit; also called alpha-isopropylmalate isomerase
leuB	beta-Isopropylmalate dehydrogenase
greB	Transcript cleavage factor
ybiA	Required for swarming phenotype, DUF1768 family, function unknown
ybiB	Function unknown
ybiC	Function unknown, lactate, malate dehydrogenase family
gcl	Glyoxylate carboligase, glyoxylate-inducible
hyi	Hydroxypyruvate isomerase, glyoxylate-inducible; product is tartronate semialdehyde
thiC	Hydroxymethylpyrimidine synthesis, for thiamine biosynthesis; requires SAM and an iron-sulfiur cluster
thiE	Thiamin phosphate synthase; thiamine phosphate pyrophosphorylase, TMP-PPase; thiamin-thiazole moiety synthesis
thiF	Adenylyltransferase, modifies ThiS C-terminus; ThiS-thiocarboxylate (ThiS-COSH) synthesis; thiamin-thiazole moiety synthesis; complexes with ThiS
thiG	Thiazole synthase; thiamin-thiazole moiety synthesis; complexes with ThiH
thiH	Tyrosine lyase, involved in thiamin-thiazole moiety synthesis; complexes with ThiG; [4Fe-4S]-SAM cluster; Radical SAM superfamily
lipB	Lipoyl-protein ligase; lipoyl-[ACP]:protein N-lipoyltransferase
ybeD	Required for swarming phenotype, UPF0250 family, function unknown; structural similarity to the regulatory domain from d-3-phosphoglycerate dehydrogenase
ybeF	Putative LysR-family transcriptional regulator, function unknown LysR-family transcriptional regulator, function unknown
moaA	MPT synthesis; chlorate resistance protein A
moaB	MPT synthesis; chlorate resistance protein B
moaD	Molybdopterin (MPT) synthase, small subunit; chlorate resistance; dimer of dimers with MoaE
moaE	Molybdopterin (MPT) synthase, large subunit; chlorate resistance; dimer of dimers with MoaD
marB	Function unknown; probable periplasmic protein in marRAB multiple antibiotic resistance operon
sseA	3-mercaptopyruvate sulfurtransferase; enhances serine sensitivity (inhibits homoserine deHase) on lactate; rhodanese-like protein
sseB	Enhances serine sensitivity (inhibits homoserine deHase) on lactate; weaker than sseA
glnE	Protein adenylyltransferase, modifies glutamine synthase; catalyzes adenylation and deadenylation
ygiF	Function unknown
smf	Function unknown, possible role in DNA metabolism
smg	Function unknown, after smf gene
kch	Voltage-gated potassium channel protein; overproduction increases the permeability of the cytoplamsic membrane to K+; not involved in K+ uptake; overproduction alters membrane composition; homotetrameric membrane protein
yciI	Function unknown
cls	Cardiolipin synthase; mutants dihydroxybutylphosphonate resistant; novobiocin sensitivity
evgA	Response regulator for acid and drug resistance, cognate to EvgS; homodimeric
evgS	Sensor kinase for acid and drug resistance, cognate to EvgA
proP	Proline/betaine permease, minor; osmosensor/osmoregulator
eptA	Lipid A phosphoethanolamine transferase, associated with polymyxin resistance
basS	Histidine protein kinase sensor for Lipid A modification genes; two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)
basR	Response regulator for Lipid A modification genes; two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)
sugE	Multidrug efflux pump; overexpression resistance to cetylpyridinium
baeS	Sensor kinase for mdtABCD, acrD and spy
baeR	Response regulator for mdtABCD, acrD and spy
mfd	Transcription repair coupling factor
rnb	RNase II; mRNA degradation
metN	ABC transporter ATPase, L,D-methionine uptake; methionine sulfoximine sensitivity
mdlA	ABC exporter permease-ATPase, function unknown
sdaB	L-Serine deaminase II; L-SD2
artP	Arg periplasmic transport system; similarity to transmembrane proteins, BPC ATPases
artI	Periplasmic binding protein of Arg transport system
artQ	Arg periplasmic transport system; similarity to transmembrane proteins, BPC ATPases
artM	Arg periplasmic transport system; similarity to transmembrane proteins, BPC ATPases
artJ	Periplasmic binding protein of Arg transport system
potF	Putrescine ABC transporter periplasmic binding protein
potG	Putrescine ABC transporter ATP-binding protein
potH	Putrescine ABC transporter permease
potI	Putrescine ABC transporter permease
nohD	Phage lambda Nu1 homolog, DLP12 prophage, terminase family; small subunit, putative DNA packaging protein
ydeA	Arabinose exporter, mutation reduces arabinose efflux; overexpression interferes with arabinose accumulation
marC	Inner membrane protein, function unknown; not involved in antibiotic resistance
eamA	Efflux pump for cysteine and O-acetyl-L-serine
ydeE	Required for swarming, putative transporter, function unknown; no overexpression resistances found
ydeH	Diguanylate cyclase, required for pgaD induction
ydeI	Predicted secreted protein, function unknown
ydeJ	Function unknown, may bind to RecA; homologous to colligrin, a Streptococcus protein that localizes RecA to the membrane; ygaD paralog
psuK	Pseudouridine kinase; enzyme; pseudouridine utilization
accA	Acetyl-CoA carboxylase, carboxyltransferase alpha subunit
dkgB	2,5-diketo-D-gluconate reductase B
yafC	Putative LysR-family transcriptional regulator, function unknown
yafD	Function unknown
yafE	Predicted SAM-dependent methyltransferase, function unknown
degS	Serine protease, degrades periplasmic RseA, activating RpoE; multicopy suppressor of prc; periplasmic stress sensor for unfolded or misfolded OMPs
cyaY	Iron-dependent inhibitor of iron-sulfur cluster formation; binds IcsS; iron sensor; iron-binding and oxidizing protein, frataxin
fliG	Rotor protein for flagellar motor switching and energizing; role in flagellar assembly
fliH	Negative regulator of FliI ATPase activity; involved in flagellar assembly and export
ybbA	Function unknown
uidB	Glucuronide permease, inactive point mutant
yedD	Novel verified lipoprotein, function unknown
yedE	Function unknown
yedF	Function unknown, UPF0033 family
slyD	FKBP-type peptidyl-prolyl cis-trans isomerase; metal ion regulated; overexpression causes filamentation; required to stabilize E lysis protein of bacteriophage phiX174
slyX	Required for phi X174 lysis
bacA	Undecaprenyl pyrophosphate phosphatase BacA(UppP); overexpression confers bacitracin resistance
moaC	MPT (molybdopterin ) biosynthesis; chlorate resistance protein C
atoS	Transcriptional histidine protein kinase regulator of atoDAEB; membrane sensor; AtoC is the two-component cognate response regulator; induced by acetoacetate
atoC	Response regulator for atoDAEB operon; AtoS is the two-component cognate sensor protein; induced by acetoacetate; ornithine decarboxylase antizyme Az, polyamine-inducible
atoD	Acetyl-CoA:acetoacetyl-CoA transferase beta-subunit
atoA	Acetate CoA-transferase
atoE	Short-chain fatty acids transporter
atoB	Acetyl-CoA acetyltransferase
folB	Dihydroneopterin aldolase
plsY	Probable glycerol-3-phosphate acyltransferase
panB	Ketopantoate hydroxymethyltransferase
hslV	Heat-inducible ATP-dependent protease HslVU, protease subunit; involved in the degradation of misfolded proteins
modF	Molybdate uptake
yadC	Function unknown, FimA homolog
aas	Acyl-ACP synthase; 2-acylglycerophosphoethanolamine acyltransferase; salvage pathway for reacylation; inner membrane; bifunctional for turnover/incorporation
lptB	Lipopolysaccharide export ABC transporter ATP-binding protein; LptBFGC export complex
hpf	Ribosome hibernation promoting factor HPF; stabilizes 70S dimers (100S); induced in stationary phase; raiA paralog has opposite effect on 70S dimers
ptsN	Nitrogen regulatory Enzyme II (Ntr) of PTS system
yicG	Inner membrane protein, UPF0126 family, function unknown
yicH	Function unknown
yicI	alpha-Xylosidase; hexameric
yicJ	Putative sugar transporter, function unknown
setC	Putative sugar efflux transporter, function unknown
yicL	Function unknown
nepI	Purine ribonucleoside exporter; 6-mercaptopurine resistance
yicN	Function unknown
yicO	Probable adenine permease
ade	Cryptic (or inducer-unknown) adenine deaminase; can be activated by hns mutation or IS elements; adenine aminohydrolase
emrD	Multidrug resistance pump; overexpression resistance to uncouplers and detergents
yidF	Function unknown
yidG	Function unknown
yidH	Inner membrane protein, DUF202 family, function unknown
yidI	Inner membrane protein, function unknown
galM	Galactose mutarotase, aldose-1-epimerase; monomeric
gpmA	Phosphoglycerate mutase, 1, 2,3-bisphosphoglycerate-dependent; Fur regulon; dimeric
pnuC	Nicotinamide mononucleotide transporter
udk	Uridine/cytidine kinase
nudC	NADH pyrophosphatase
acrA	AcrAB-TolC multidrug efflux pump; additionally dye, detergent, solvent resistance; membrane-fusion lipoprotein
acrB	AcrAB-TolC multidrug efflux pump; additionally dye, detergent and solvent resistance; RND-type transporter
yidJ	Function unknown
yidK	Function unknown
yidL	Predicted transcriptional regulator, AraC family, function unknown
yidP	Function unknown
yidQ	Probable lipoprotein, function unknown; Cys conserved
yidR	Function unknown
cbrA	Function unknown, creBC regulon; induced by AI-2 pheromone
dgoT	Galactonate transporter
dgoA	2-oxo-3-deoxygalactonate 6-phosphate aldolase
